Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2KjIfKjXz2hkF64ztAEUBm,"New Millennium Cyanide Christ","Chaosphere (25th Anniversary Remastered 2023 Edition)","Meshuggah",2023-11-10,335560,27,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:33Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.419,0.928,10,-5.046,0,0.126,0.000206,0.00307,0.173,0.359,150.365,4
spotify:track:1gi9Gq6EgTSSfDiKSgj2IM,"Corridor of Chameleons","Chaosphere (25th Anniversary Remastered 2023 Edition)","Meshuggah",2023-11-10,302773,24,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:33Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.417,0.961,1,-6.165,1,0.095,0.000198,0.024,0.216,0.498,171.512,3
spotify:track:10qwM5a4h5TtWLwDZdpRKA,"Neurotica - 25th Anniversary Remastered 2023 Edition","Chaosphere (25th Anniversary Remastered 2023 Edition)","Meshuggah",2023-11-10,319426,22,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:33Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.523,0.942,11,-5.487,1,0.0799,0.0000839,0.485,0.166,0.713,103.738,4
spotify:track:1DPi7anICYLgh9Rxd5Sggt,"The Mouth Licking What You've Bled - 25th Anniversary Remastered 2023 Edition","Chaosphere (25th Anniversary Remastered 2023 Edition)","Meshuggah",2023-11-10,237573,22,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:33Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.309,0.969,1,-6.152,1,0.199,0.00001,0.32,0.296,0.341,120.283,3
spotify:track:0eJ3C35R67QkdP4sxWmrxz,"Sane - 25th Anniversary Remastered 2023 Edition","Chaosphere (25th Anniversary Remastered 2023 Edition)","Meshuggah",2023-11-10,228453,20,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:33Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.254,0.929,9,-5.49,1,0.126,0.000036,0.00978,0.358,0.345,85.915,3
spotify:track:6OVCdzgnaCUxbXRHICDstf,"The Exquisite Machinery of Torture","Chaosphere (25th Anniversary Remastered 2023 Edition)","Meshuggah",2023-11-10,235786,20,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:33Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.604,0.926,10,-5.608,0,0.0952,0.0104,0.00105,0.223,0.788,102.666,4
spotify:track:2AE9vIH0nTuyhCSsIJ74le,"Elastic","Chaosphere (25th Anniversary Remastered 2023 Edition)","Meshuggah",2023-11-10,930120,20,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:33Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.28,0.000182,6,-3.928,1,0.269,0.000184,0.00687,0.22,0.0436,134.771,4
spotify:track:1TtDKk9l5zMswcgfJG2cL6,"Broken Cog","Immutable","Meshuggah",2022-03-31,335146,44,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:40Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.378,0.877,10,-8.97,0,0.0419,0.00000412,0.928,0.109,0.625,174.015,3
spotify:track:2y96EDv90IjVcTsOzyfPCm,"The Abysmal Eye","Immutable","Meshuggah",2022-03-31,295786,42,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:40Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.318,0.938,1,-6.974,0,0.0774,0.00000253,0.00156,0.294,0.144,174.959,4
spotify:track:63SruNXszQAmRd4LYe1wJd,"Light the Shortening Fuse","Immutable","Meshuggah",2022-03-31,268207,37,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:40Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.142,0.948,6,-7.24,1,0.0706,0.00000211,0.153,0.0752,0.454,200.027,4
spotify:track:1Ju6qnilHQRlZ6RPqSMKf1,"Phantoms","Immutable","Meshuggah",2022-03-31,293759,36,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:40Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.471,0.937,6,-7.07,0,0.0697,0.0000176,0.302,0.138,0.426,110.014,4
spotify:track:4SIJeg20RL4YD052dIk2qB,"Ligature Marks","Immutable","Meshuggah",2022-03-31,313017,41,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:40Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.528,0.892,6,-5.993,1,0.0451,0.0000586,0.4,0.0985,0.702,149.995,4
spotify:track:3wzGnDlsQhMjXk8aX0o3Mv,"God He Sees in Mirrors","Immutable","Meshuggah",2022-03-31,328416,33,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:40Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.192,0.972,9,-7.208,1,0.0877,0.00000477,0.163,0.0634,0.317,148.718,5
spotify:track:7maxJUgo0wONdOuOfFS9o7,"They Move Below","Immutable","Meshuggah",2022-03-31,575940,33,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:40Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.522,0.758,5,-9.066,1,0.031,0.0000611,0.868,0.125,0.145,120.004,3
spotify:track:4MZnFq5sRXjVJRnsL72LDG,"Kaleidoscope","Immutable","Meshuggah",2022-03-31,247004,35,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:40Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.411,0.971,5,-5.957,1,0.0604,0.00000696,0.0111,0.0955,0.649,149.984,4
spotify:track:3irEzAaGUarSX6Z1J59Qll,"Black Cathedral","Immutable","Meshuggah",2022-03-31,120661,28,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:40Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.116,0.24,5,-15.683,1,0.048,0.00000114,0.957,0.346,0.323,92.283,3
spotify:track:30zhZai341JK7v0LkBJSMA,"I Am That Thirst","Immutable","Meshuggah",2022-03-31,280141,34,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:40Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.198,0.935,6,-7.525,1,0.056,0.00000324,0.0303,0.0757,0.271,94.628,4
spotify:track:0d4RBihYWbAYgqnxzCQaOj,"The Faultless","Immutable","Meshuggah",2022-03-31,288106,32,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:40Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.201,0.898,6,-7.125,1,0.057,0.00000142,0.0145,0.149,0.298,132.145,4
spotify:track:0KysnlAnEXtrbwRvo1Jf5z,"Armies of the Preposterous","Immutable","Meshuggah",2022-03-31,315910,30,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:40Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.223,0.942,11,-8.381,1,0.0858,0.00000353,0.844,0.135,0.172,146.655,4
