TIME,30.0463,30.3998,30.7617,31.1323,31.512,31.901,32.2998,32.7087,33.128,33.5582,33.9998,34.4531,34.9187,35.397,35.8887,36.3941,36.9141,37.449,37.9998,38.5669,39.1513,39.7536,40.3748,41.0156,41.6772,42.3604,43.0664,43.7963,44.5515,45.3331,46.1426,46.9815,47.8516,48.7544,49.692,50.6664,51.6797,52.7344,53.833,54.9784,56.1736,57.4219,58.7269,60.0927,61.5234,63.024,64.5996,66.256,67.9996,69.8374,71.7773,73.8281,75.9995,78.3026,80.7495,83.3543,86.1328,89.1029,92.2852,95.7031,99.384,103.359,107.666,112.347,117.454,123.047,129.199,135.999,143.555,151.999,161.499,172.266,184.57,198.768,215.332,234.908,258.398,287.109,322.998,369.141,430.664
0.000000000,5.04618e-06,6.80172e-06,1.25194e-05,2.51122e-06,5.75094e-06,1.14659e-05,6.52874e-06,1.10874e-05,6.65919e-06,3.65827e-06,1.00939e-05,2.53162e-06,4.42223e-06,6.14205e-06,3.40342e-06,1.10167e-05,3.70749e-06,4.14282e-06,7.59137e-06,3.22061e-06,1.24364e-05,9.25825e-06,1.47119e-05,1.89865e-05,8.96068e-06,4.92907e-06,6.11435e-06,2.20279e-06,5.30361e-06,2.73027e-06,4.22944e-06,1.00933e-05,2.39331e-06,8.9409e-06,8.99055e-06,3.26086e-06,8.44761e-06,3.41071e-06,5.1675e-06,1.01097e-05,1.80113e-06,6.15874e-06,4.78383e-06,3.86879e-06,1.02181e-05,3.03012e-06,4.27868e-06,7.53191e-06,2.09646e-06,1.18318e-05,6.8919e-06,3.90535e-06,8.97427e-06,2.55208e-06,5.56574e-06,6.27971e-06,3.74659e-06,1.05813e-05,5.49315e-06,5.88865e-06,1.15947e-05,2.87598e-06,5.93005e-06,3.79312e-06,4.40746e-06,8.05415e-06,3.37821e-06,5.9072e-06,8.17451e-06,1.8002e-06,8.80274e-06,4.614e-06,3.04879e-06,7.59978e-06,3.21639e-06,8.22924e-06,9.11863e-06,1.98194e-06,6.57194e-06,2.4815e-06,4.37807e-06
1.486077098,7.0763e-06,7.35589e-06,1.81722e-05,1.4146e-05,6.59512e-06,1.26779e-05,7.74699e-06,1.45236e-05,9.42981e-06,6.97535e-06,1.2295e-05,4.53861e-06,7.39822e-06,9.64022e-06,5.97276e-06,1.19859e-05,4.3762e-06,4.4799e-06,7.63056e-06,6.59549e-06,2.30356e-05,1.94468e-05,1.83977e-05,2.24699e-05,1.97877e-05,1.77319e-05,1.50805e-05,5.84072e-06,7.52181e-06,3.14753e-06,5.16233e-06,1.0377e-05,1.01816e-05,1.23233e-05,9.10444e-06,3.5963e-06,8.67356e-06,4.54043e-06,5.62313e-06,1.09594e-05,1.94469e-06,6.39727e-06,5.14865e-06,5.1271e-06,1.28135e-05,4.13938e-06,8.57127e-06,9.90336e-06,2.28493e-06,1.32222e-05,7.49516e-06,8.90334e-06,1.12809e-05,4.17508e-06,7.60416e-06,6.67773e-06,7.23145e-06,1.2822e-05,7.21524e-06,9.24241e-06,1.29897e-05,3.21908e-06,7.65163e-06,5.61859e-06,5.8419e-06,1.01474e-05,4.97099e-06,7.93024e-06,9.70004e-06,4.85978e-06,1.13438e-05,5.19883e-06,5.81435e-06,9.80347e-06,1.03755e-05,1.30135e-05,1.04083e-05,2.19942e-06,7.09422e-06,3.23101e-06,4.90965e-06
2.972154195,8.34036e-06,7.8512e-06,1.82589e-05,1.41882e-05,1.00934e-05,1.64411e-05,1.045e-05,1.56955e-05,1.1168e-05,1.0366e-05,1.56096e-05,8.11622e-06,1.10297e-05,1.20136e-05,6.66402e-06,1.57213e-05,9.70075e-06,8.93189e-06,9.4242e-06,9.47048e-06,2.70707e-05,2.2027e-05,1.8652e-05,2.34405e-05,2.12171e-05,1.94403e-05,1.53958e-05,6.65291e-06,2.19622e-05,2.30917e-05,2.21784e-05,1.55994e-05,1.86063e-05,3.24817e-05,2.82406e-05,1.0314e-05,1.06408e-05,7.97929e-06,9.19039e-06,1.29466e-05,2.40235e-06,7.11351e-06,6.08333e-06,5.46139e-06,1.32554e-05,4.76391e-06,9.43596e-06,1.04163e-05,2.64107e-06,1.32809e-05,7.52657e-06,8.98265e-06,1.15714e-05,4.49888e-06,7.71337e-06,6.68339e-06,7.38181e-06,1.70471e-05,1.93716e-05,2.06383e-05,1.92e-05,4.87513e-06,1.46421e-05,1.95855e-05,1.52621e-05,1.27429e-05,4.9722e-06,9.67513e-06,1.32689e-05,7.64641e-06,1.13542e-05,5.67338e-06,6.59428e-06,1.0628e-05,1.06552e-05,1.33195e-05,1.07034e-05,2.50312e-06,7.31673e-06,3.4393e-06,6.73648e-06
4.458231293,8.34036e-06,8.07847e-06,4.71231e-05,1.55164e-05,1.00934e-05,1.78534e-05,1.18305e-05,9.54861e-05,4.81728e-05,1.0366e-05,2.46054e-05,1.62653e-05,3.44146e-05,2.41785e-05,1.68011e-05,5.05442e-05,1.40039e-05,1.02083e-05,1.08793e-05,1.96988e-05,5.5687e-05,2.34956e-05,2.09418e-05,2.66885e-05,2.4117e-05,2.02507e-05,2.01266e-05,2.44712e-05,3.0803e-05,2.52539e-05,2.29944e-05,1.55994e-05,5.23571e-05,5.51092e-05,3.64533e-05,1.79924e-05,5.52521e-05,0.000137959,2.4349e-05,2.66659e-05,1.87579e-05,2.71824e-05,4.33733e-05,1.58611e-05,1.7204e-05,7.88381e-06,1.78581e-05,1.63478e-05,6.6359e-06,1.45097e-05,2.74019e-05,2.93156e-05,1.81884e-05,6.26994e-06,9.15529e-06,1.57694e-05,5.61811e-05,5.86838e-05,3.13235e-05,2.39079e-05,2.52238e-05,2.17318e-05,3.76749e-05,2.12329e-05,1.84706e-05,1.43648e-05,5.67354e-06,1.17225e-05,2.42888e-05,2.43006e-05,1.3341e-05,8.19606e-06,1.1802e-05,2.34564e-05,1.15682e-05,1.63438e-05,1.37294e-05,1.03487e-05,1.07632e-05,3.53272e-06,1.27181e-05
5.944308390,8.37743e-06,8.64132e-06,4.78466e-05,1.56559e-05,1.03618e-05,1.78987e-05,1.36776e-05,9.56217e-05,4.82403e-05,1.07634e-05,2.49514e-05,1.67611e-05,3.46023e-05,2.42082e-05,1.71481e-05,5.13422e-05,1.48527e-05,1.0682e-05,1.09647e-05,2.01687e-05,5.58028e-05,2.38908e-05,2.24185e-05,2.70987e-05,2.4806e-05,2.03388e-05,2.03607e-05,2.45393e-05,3.12849e-05,2.52622e-05,2.30086e-05,1.56651e-05,5.87086e-05,5.67296e-05,3.65111e-05,1.79968e-05,5.52696e-05,0.000143848,2.59176e-05,3.41443e-05,1.87579e-05,2.73103e-05,4.34021e-05,1.59697e-05,2.69313e-05,9.08725e-06,1.81333e-05,1.63478e-05,6.67719e-06,1.45383e-05,2.74019e-05,3.23047e-05,1.89341e-05,6.26994e-06,3.35798e-05,2.16056e-05,5.61811e-05,5.98868e-05,3.27872e-05,4.43516e-05,2.91e-05,5.35859e-05,3.76749e-05,2.12329e-05,7.80029e-05,1.79193e-05,1.63812e-05,1.17225e-05,2.42888e-05,6.8254e-05,1.3341e-05,1.36956e-05,1.4093e-05,2.57565e-05,1.63344e-05,1.63438e-05,3.27189e-05,1.50862e-05,1.18602e-05,1.16721e-05,1.36144e-05
7.430385488,8.37965e-06,8.64392e-06,4.78476e-05,1.56598e-05,1.03631e-05,1.79096e-05,1.36804e-05,9.56293e-05,4.82423e-05,1.07637e-05,2.4952e-05,1.67662e-05,3.4607e-05,2.42117e-05,1.71509e-05,5.1346e-05,1.48571e-05,1.06888e-05,1.09666e-05,2.01698e-05,5.58052e-05,2.39023e-05,2.24195e-05,2.71088e-05,2.48092e-05,2.03469e-05,2.0362e-05,2.45494e-05,3.12884e-05,2.52661e-05,2.30122e-05,1.56691e-05,5.87119e-05,5.67376e-05,3.65153e-05,1.79989e-05,5.52711e-05,0.000143851,2.59197e-05,3.41469e-05,1.87591e-05,2.73129e-05,4.34042e-05,1.59785e-05,2.69342e-05,9.09029e-06,1.81382e-05,1.63532e-05,6.67862e-06,1.45409e-05,2.74045e-05,3.23112e-05,1.89402e-05,6.27284e-06,3.35849e-05,2.16072e-05,5.61901e-05,5.98925e-05,3.27904e-05,4.43538e-05,2.91018e-05,5.35906e-05,3.76841e-05,2.12372e-05,7.80048e-05,1.79199e-05,1.63902e-05,1.17321e-05,2.42962e-05,6.82544e-05,1.33567e-05,1.37014e-05,1.41048e-05,2.57597e-05,1.6336e-05,1.63481e-05,3.27302e-05,1.50996e-05,1.18627e-05,1.16782e-05,1.36203e-05
8.916462585,2.32229e-05,1.79294e-05,8.49269e-05,3.84274e-05,1.22208e-05,1.82643e-05,1.50961e-05,9.94101e-05,5.027e-05,1.81287e-05,3.25942e-05,2.39634e-05,3.91359e-05,2.55546e-05,1.71509e-05,5.14506e-05,1.49173e-05,2.10037e-05,1.7566e-05,3.41349e-05,7.4114e-05,8.12425e-05,5.5441e-05,4.45432e-05,3.1184e-05,2.50283e-05,2.35764e-05,2.7848e-05,3.281e-05,2.52661e-05,2.30138e-05,4.6332e-05,7.4198e-05,6.81174e-05,4.19489e-05,1.80056e-05,5.60665e-05,0.000144245,2.592e-05,3.41482e-05,2.15884e-05,6.74454e-05,6.29234e-05,7.70045e-05,6.51582e-05,1.32506e-05,1.81382e-05,2.33728e-05,2.48998e-05,2.17781e-05,2.74054e-05,3.23116e-05,1.8943e-05,9.93219e-06,3.53762e-05,2.16091e-05,5.61907e-05,5.9899e-05,3.27917e-05,4.43575e-05,2.91045e-05,5.35927e-05,3.76897e-05,2.12407e-05,7.80124e-05,1.79215e-05,1.63957e-05,1.17351e-05,2.42977e-05,6.82565e-05,1.33578e-05,1.37023e-05,1.41062e-05,2.57605e-05,1.63421e-05,1.63489e-05,3.27391e-05,1.51001e-05,1.1865e-05,1.16796e-05,1.36226e-05
10.402539683,2.32229e-05,1.79294e-05,8.49269e-05,0.00218625,0.0123635,0.0170854,1.50961e-05,9.94101e-05,5.027e-05,1.81287e-05,0.00574841,0.0188629,0.0146767,2.55546e-05,1.71509e-05,5.14506e-05,1.49173e-05,0.00724509,0.0159312,0.0052041,7.4114e-05,8.12425e-05,5.5441e-05,0.00900441,0.0361523,0.0374653,0.00183151,2.7848e-05,3.281e-05,2.52661e-05,0.048782,0.11568,0.0337453,0.00195554,4.19489e-05,1.80056e-05,5.60665e-05,0.000144245,0.000221323,0.000373406,2.15884e-05,6.74454e-05,6.29234e-05,7.70045e-05,0.0539902,0.151057,0.0836468,2.33728e-05,2.48998e-05,2.17781e-05,2.74054e-05,0.00742596,0.0151642,0.00401785,3.53762e-05,2.16091e-05,5.61907e-05,5.9899e-05,3.27917e-05,4.43575e-05,2.91045e-05,5.35927e-05,3.76897e-05,2.12407e-05,0.0372188,0.105186,0.0633499,0.0101917,2.42977e-05,6.82565e-05,1.33578e-05,1.37023e-05,1.41062e-05,2.57605e-05,1.63421e-05,1.63489e-05,3.27391e-05,1.51001e-05,1.1865e-05,1.16796e-05,1.36226e-05
11.888616780,2.32229e-05,1.79294e-05,8.49269e-05,0.00371051,0.0306182,0.0484389,0.00674201,9.94101e-05,5.027e-05,1.81287e-05,0.00962553,0.0352644,0.0268908,2.55546e-05,1.71509e-05,5.14506e-05,0.0146159,0.0401253,0.0344705,0.00792404,7.4114e-05,8.12425e-05,5.5441e-05,0.0130907,0.0468926,0.045187,0.00513198,2.7848e-05,3.281e-05,2.52661e-05,0.0565963,0.14379,0.0509611,0.00195554,4.19489e-05,1.80056e-05,5.60665e-05,0.0201271,0.0337876,0.0131727,2.15884e-05,6.74454e-05,6.29234e-05,7.70045e-05,0.0602586,0.166745,0.0936529,2.33728e-05,2.48998e-05,2.17781e-05,0.00259191,0.0169286,0.0361541,0.0131974,3.53762e-05,2.16091e-05,5.61907e-05,0.00318195,0.00755915,0.00644718,0.00352077,5.35927e-05,3.76897e-05,2.12407e-05,0.047205,0.132279,0.0810207,0.0130059,2.42977e-05,6.82565e-05,1.33578e-05,0.016859,0.0303769,0.0110496,0.000453477,1.63489e-05,3.27391e-05,1.51001e-05,0.00274242,0.00630558,0.0063762
